time_s,x_mm,y_mm,z_mm,odor_conc
3.5100000000000002,10.0,10.0,5.0,1.1253517471925912e-07
3.52,10.0,10.0,5.0,1.1253517471925912e-07
3.5300000000000002,10.0,10.0,5.0,1.1253517471925912e-07
3.54,10.0,10.0,5.0,1.1253517471925912e-07
3.5500000000000003,10.0,10.0,5.0,1.1253517471925912e-07
3.56,10.0,10.0,5.0,1.1253517471925912e-07
3.5700000000000003,10.0,10.0,5.0,1.1253517471925912e-07
3.58,10.0,10.0,5.0,1.1253517471925912e-07
3.59,10.0,10.0,5.0,1.1253517471925912e-07
3.6,10.0,10.0,5.0,1.1253517471925912e-07
3.61,10.0,10.0,5.0,1.1253517471925912e-07
3.62,10.0,10.0,5.0,1.1253517471925912e-07
3.63,10.0,10.0,5.0,1.1253517471925912e-07
3.64,10.0,10.0,5.0,1.1253517471925912e-07
3.65,10.0,10.0,5.0,1.1253517471925912e-07
3.66,10.0,10.0,5.0,1.1253517471925912e-07
3.67,10.0,10.0,5.0,1.1253517471925912e-07
3.68,10.0,10.0,5.0,1.1253517471925912e-07
3.69,10.0,10.0,5.0,1.1253517471925912e-07
3.7,10.0,10.0,5.0,1.1253517471925912e-07
3.71,10.0,10.0,5.0,1.1253517471925912e-07
3.72,10.0,10.0,5.0,1.1253517471925912e-07
3.73,10.0,10.0,5.0,1.1253517471925912e-07
3.74,10.0,10.0,5.0,1.1253517471925912e-07
3.75,10.0,10.0,5.0,1.1253517471925912e-07
3.7600000000000002,10.0,10.0,5.0,1.1253517471925912e-07
3.77,10.0,10.0,5.0,1.1253517471925912e-07
3.7800000000000002,10.0,10.0,5.0,1.1253517471925912e-07
3.79,10.0,10.0,5.0,1.1253517471925912e-07
3.8000000000000003,10.0,10.0,5.0,1.1253517471925912e-07
3.81,10.0,10.0,5.0,1.1253517471925912e-07
3.8200000000000003,10.0,10.0,5.0,1.1253517471925912e-07
3.83,10.0,10.0,5.0,1.1253517471925912e-07
3.84,10.0,10.0,5.0,1.1253517471925912e-07
3.85,10.0,10.0,5.0,1.1253517471925912e-07
3.86,10.0,10.0,5.0,1.1253517471925912e-07
3.87,10.0,10.0,5.0,1.1253517471925912e-07
3.88,10.0,10.0,5.0,1.1253517471925912e-07
3.89,10.0,10.0,5.0,1.1253517471925912e-07
3.9,10.0,10.0,5.0,1.1253517471925912e-07
3.91,10.0,10.0,5.0,1.1253517471925912e-07
3.92,10.0,10.0,5.0,1.1253517471925912e-07
3.93,10.0,10.0,5.0,1.1253517471925912e-07
3.94,10.0,10.0,5.0,1.1253517471925912e-07
3.95,10.0,10.0,5.0,1.1253517471925912e-07
3.96,10.0,10.0,5.0,1.1253517471925912e-07
3.97,10.0,10.0,5.0,1.1253517471925912e-07
3.98,10.0,10.0,5.0,1.1253517471925912e-07
3.99,10.0,10.0,5.0,1.1253517471925912e-07
4.0,10.0,10.0,5.0,1.1253517471925912e-07
4.01,10.0,10.0,5.0,1.1253517471925912e-07
4.0200000000000005,10.0,10.0,5.0,1.1253517471925912e-07
4.03,10.0,10.0,5.0,1.1253517471925912e-07
4.04,10.0,10.0,5.0,1.1253517471925912e-07
4.05,10.0,10.0,5.0,1.1253517471925912e-07
4.0600000000000005,10.0,10.0,5.0,1.1253517471925912e-07
4.07,10.0,10.0,5.0,1.1253517471925912e-07
4.08,10.0,10.0,5.0,1.1253517471925912e-07
4.09,10.0,10.0,5.0,1.1253517471925912e-07
4.1,10.0,10.0,5.0,1.1253517471925912e-07
4.11,10.0,10.0,5.0,1.1253517471925912e-07
4.12,10.0,10.0,5.0,1.1253517471925912e-07
4.13,10.0,10.0,5.0,1.1253517471925912e-07
4.14,10.0,10.0,5.0,1.1253517471925912e-07
4.15,10.0,10.0,5.0,1.1253517471925912e-07
4.16,10.0,10.0,5.0,1.1253517471925912e-07
4.17,10.0,10.0,5.0,1.1253517471925912e-07
4.18,10.0,10.0,5.0,1.1253517471925912e-07
4.19,10.0,10.0,5.0,1.1253517471925912e-07
4.2,10.0,10.0,5.0,1.1253517471925912e-07
4.21,10.0,10.0,5.0,1.1253517471925912e-07
4.22,10.0,10.0,5.0,1.1253517471925912e-07
4.23,10.0,10.0,5.0,1.1253517471925912e-07
4.24,10.0,10.0,5.0,1.1253517471925912e-07
4.25,10.0,10.0,5.0,1.1253517471925912e-07
4.26,10.0,10.0,5.0,1.1253517471925912e-07
4.2700000000000005,10.0,10.0,5.0,1.1253517471925912e-07
4.28,10.0,10.0,5.0,1.1253517471925912e-07
4.29,10.0,10.0,5.0,1.1253517471925912e-07
4.3,10.0,10.0,5.0,1.1253517471925912e-07
4.3100000000000005,10.0,10.0,5.0,1.1253517471925912e-07
4.32,10.0,10.0,5.0,1.1253517471925912e-07
4.33,10.0,10.0,5.0,1.1253517471925912e-07
4.34,10.0,10.0,5.0,1.1253517471925912e-07
4.3500000000000005,10.0,10.0,5.0,1.1253517471925912e-07
4.36,10.0,10.0,5.0,1.1253517471925912e-07
4.37,10.0,10.0,5.0,1.1253517471925912e-07
4.38,10.0,10.0,5.0,1.1253517471925912e-07
4.39,10.0,10.0,5.0,1.1253517471925912e-07
4.4,10.0,10.0,5.0,1.1253517471925912e-07
4.41,10.0,10.0,5.0,1.1253517471925912e-07
4.42,10.0,10.0,5.0,1.1253517471925912e-07
4.43,10.0,10.0,5.0,1.1253517471925912e-07
4.44,10.0,10.0,5.0,1.1253517471925912e-07
4.45,10.0,10.0,5.0,1.1253517471925912e-07
4.46,10.0,10.0,5.0,1.1253517471925912e-07
4.47,10.0,10.0,5.0,1.1253517471925912e-07
4.48,10.0,10.0,5.0,1.1253517471925912e-07
4.49,10.0,10.0,5.0,1.1253517471925912e-07
4.5,10.0,10.0,5.0,1.1253517471925912e-07
4.51,10.0,10.0,5.0,1.1253517471925912e-07
4.5200000000000005,10.0,10.0,5.0,1.1253517471925912e-07
4.53,10.0,10.0,5.0,1.1253517471925912e-07
4.54,10.0,10.0,5.0,1.1253517471925912e-07
4.55,10.0,10.0,5.0,1.1253517471925912e-07
4.5600000000000005,10.0,10.0,5.0,1.1253517471925912e-07
4.57,10.0,10.0,5.0,1.1253517471925912e-07
4.58,10.0,10.0,5.0,1.1253517471925912e-07
4.59,10.0,10.0,5.0,1.1253517471925912e-07
4.6000000000000005,10.0,10.0,5.0,1.1253517471925912e-07
4.61,10.0,10.0,5.0,1.1253517471925912e-07
4.62,10.0,10.0,5.0,1.1253517471925912e-07
4.63,10.0,10.0,5.0,1.1253517471925912e-07
4.64,10.0,10.0,5.0,1.1253517471925912e-07
4.65,10.0,10.0,5.0,1.1253517471925912e-07
4.66,10.0,10.0,5.0,1.1253517471925912e-07
4.67,10.0,10.0,5.0,1.1253517471925912e-07
4.68,10.0,10.0,5.0,1.1253517471925912e-07
4.69,10.0,10.0,5.0,1.1253517471925912e-07
4.7,10.0,10.0,5.0,1.1253517471925912e-07
4.71,10.0,10.0,5.0,1.1253517471925912e-07
4.72,10.0,10.0,5.0,1.1253517471925912e-07
4.73,10.0,10.0,5.0,1.1253517471925912e-07
4.74,10.0,10.0,5.0,1.1253517471925912e-07
4.75,10.0,10.0,5.0,1.1253517471925912e-07
4.76,10.0,10.0,5.0,1.1253517471925912e-07
4.7700000000000005,10.0,10.0,5.0,1.1253517471925912e-07
4.78,10.0,10.0,5.0,1.1253517471925912e-07
4.79,10.0,10.0,5.0,1.1253517471925912e-07
4.8,10.0,10.0,5.0,1.1253517471925912e-07
