step,time_s,x_mm,y_mm,z_mm,odor,forward_cmd,turn_cmd,wing_Hz,left_leg,right_leg
168,1.68,10.314383439280954,10.0,5.0,0.018894721740901697,0.018894721740901697,0.0,2.8342082611352546,0.0,-0.0
169,1.69,10.316273265701234,10.0,5.0,0.0188982642028069,0.0188982642028069,0.0,2.8347396304210353,0.0,-0.0
170,1.7,10.31816344648368,10.0,5.0,0.018901807824459174,0.018901807824459174,0.0,2.8352711736688763,0.0,-0.0
171,1.71,10.32005398174432,10.0,5.0,0.01890535260638437,0.01890535260638437,0.0,2.8358028909576554,0.0,-0.0
172,1.72,10.32194487159923,10.0,5.0,0.018908898549108755,0.018908898549108755,0.0,2.8363347823663134,0.0,-0.0
173,1.73,10.323836116164546,10.0,5.0,0.018912445653158735,0.018912445653158735,0.0,2.8368668479738104,0.0,-0.0
174,1.74,10.325727715556452,10.0,5.0,0.018915993919061146,0.018915993919061146,0.0,2.837399087859172,0.0,-0.0
175,1.75,10.327619669891186,10.0,5.0,0.01891954334734307,0.01891954334734307,0.0,2.8379315021014606,0.0,-0.0
176,1.76,10.329511979285039,10.0,5.0,0.01892309393853188,0.01892309393853188,0.0,2.838464090779782,0.0,-0.0
177,1.77,10.331404643854354,10.0,5.0,0.018926645693155268,0.018926645693155268,0.0,2.83899685397329,0.0,-0.0
178,1.78,10.333297663715529,10.0,5.0,0.018930198611741215,0.018930198611741215,0.0,2.839529791761182,0.0,-0.0
179,1.79,10.33519103898501,10.0,5.0,0.018933752694818,0.018933752694818,0.0,2.8400629042227,0.0,-0.0
180,1.8,10.337084769779302,10.0,5.0,0.018937307942914202,0.018937307942914202,0.0,2.8405961914371303,0.0,-0.0
181,1.81,10.338978856214958,10.0,5.0,0.01894086435655872,0.01894086435655872,0.0,2.8411296534838075,0.0,-0.0
182,1.82,10.340873298408585,10.0,5.0,0.01894442193628072,0.01894442193628072,0.0,2.8416632904421077,0.0,-0.0
183,1.83,10.342768096476846,10.0,5.0,0.018947980682609684,0.018947980682609684,0.0,2.8421971023914527,0.0,-0.0
184,1.84,10.344663250536453,10.0,5.0,0.018951540596075404,0.018951540596075404,0.0,2.8427310894113105,0.0,-0.0
185,1.85,10.346558760704173,10.0,5.0,0.018955101677207997,0.018955101677207997,0.0,2.8432652515811996,0.0,-0.0
186,1.86,10.348454627096826,10.0,5.0,0.018958663926537774,0.018958663926537774,0.0,2.843799588980666,0.0,-0.0
187,1.87,10.350350849831285,10.0,5.0,0.0189622273445955,0.0189622273445955,0.0,2.844334101689325,0.0,-0.0
188,1.8800000000000001,10.352247429024477,10.0,5.0,0.018965791931912113,0.018965791931912113,0.0,2.844868789786817,0.0,-0.0
189,1.8900000000000001,10.35414436479338,10.0,5.0,0.018969357689018914,0.018969357689018914,0.0,2.8454036533528373,0.0,-0.0
190,1.9000000000000001,10.356041657255025,10.0,5.0,0.018972924616447517,0.018972924616447517,0.0,2.8459386924671275,0.0,-0.0
191,1.9100000000000001,10.357939306526498,10.0,5.0,0.018976492714729797,0.018976492714729797,0.0,2.84647390720947,0.0,-0.0
192,1.92,10.359837312724938,10.0,5.0,0.01898006198439795,0.01898006198439795,0.0,2.847009297659693,0.0,-0.0
193,1.93,10.361735675967537,10.0,5.0,0.018983632425984488,0.018983632425984488,0.0,2.847544863897673,0.0,-0.0
194,1.94,10.36363439637154,10.0,5.0,0.0189872040400222,0.0189872040400222,0.0,2.84808060600333,0.0,-0.0
195,1.95,10.365533474054244,10.0,5.0,0.018990776827044198,0.018990776827044198,0.0,2.84861652405663,0.0,-0.0
196,1.96,10.367432909133003,10.0,5.0,0.018994350787583884,0.018994350787583884,0.0,2.8491526181375826,0.0,-0.0
197,1.97,10.36933270172522,10.0,5.0,0.018997925922174943,0.018997925922174943,0.0,2.8496888883262415,0.0,-0.0
198,1.98,10.371232851948355,10.0,5.0,0.019001502231351455,0.019001502231351455,0.0,2.8502253347027184,0.0,-0.0
199,1.99,10.373133359919919,10.0,5.0,0.01900507971564769,0.01900507971564769,0.0,2.850761957347154,0.0,-0.0
200,2.0,10.375034225757478,10.0,5.0,0.019008658375598276,0.019008658375598276,0.0,2.8512987563397414,0.0,-0.0
201,2.0100000000000002,10.376935449578651,10.0,5.0,0.019012238211738124,0.019012238211738124,0.0,2.8518357317607186,0.0,-0.0
202,2.02,10.378837031501112,10.0,5.0,0.019015819224602517,0.019015819224602517,0.0,2.8523728836903777,0.0,-0.0
203,2.0300000000000002,10.380738971642584,10.0,5.0,0.01901940141472694,0.01901940141472694,0.0,2.8529102122090406,0.0,-0.0
204,2.04,10.38264127012085,10.0,5.0,0.019022984782647256,0.019022984782647256,0.0,2.8534477173970885,0.0,-0.0
205,2.05,10.38454392705374,10.0,5.0,0.019026569328899595,0.019026569328899595,0.0,2.853985399334939,0.0,-0.0
206,2.06,10.386446942559141,10.0,5.0,0.019030155054020417,0.019030155054020417,0.0,2.8545232581030624,0.0,-0.0
207,2.07,10.388350316754996,10.0,5.0,0.019033741958546464,0.019033741958546464,0.0,2.8550612937819695,0.0,-0.0
208,2.08,10.390254049759298,10.0,5.0,0.019037330043014826,0.019037330043014826,0.0,2.855599506452224,0.0,-0.0
209,2.09,10.392158141690095,10.0,5.0,0.019040919307962836,0.019040919307962836,0.0,2.8561378961944253,0.0,-0.0
210,2.1,10.394062592665488,10.0,5.0,0.019044509753928178,0.019044509753928178,0.0,2.8566764630892267,0.0,-0.0
211,2.11,10.395967402803633,10.0,5.0,0.019048101381448846,0.019048101381448846,0.0,2.857215207217327,0.0,-0.0
212,2.12,10.39787257222274,10.0,5.0,0.019051694191063076,0.019051694191063076,0.0,2.857754128659461,0.0,-0.0
213,2.13,10.39977810104107,10.0,5.0,0.019055288183309517,0.019055288183309517,0.0,2.8582932274964277,0.0,-0.0
214,2.14,10.401683989376943,10.0,5.0,0.019058883358727047,0.019058883358727047,0.0,2.858832503809057,0.0,-0.0
215,2.15,10.403590237348729,10.0,5.0,0.019062479717854842,0.019062479717854842,0.0,2.8593719576782264,0.0,-0.0
216,2.16,10.405496845074852,10.0,5.0,0.019066077261232453,0.019066077261232453,0.0,2.859911589184868,0.0,-0.0
217,2.17,10.407403812673792,10.0,5.0,0.01906967598939967,0.01906967598939967,0.0,2.8604513984099507,0.0,-0.0
218,2.18,10.409311140264082,10.0,5.0,0.019073275902896633,0.019073275902896633,0.0,2.860991385434495,0.0,-0.0
219,2.19,10.411218827964309,10.0,5.0,0.01907687700226379,0.01907687700226379,0.0,2.8615315503395684,0.0,-0.0
